name,gifFront,gifBack,cry,experienceGroup,hp,elements,attack,defense,magicalAttack,magicalDefense,speed,description
Nidorina,30.gif,30b.gif,30.ogg,MEDIUM_SLOW,70,POISON,62,67,55,55,56,"The female has a gentle temperament. It emits ultrasonic cries that have the power to befuddle foes."
Nidoqueen,31.gif,31b.gif,31.ogg,MEDIUM_SLOW,90,"POISON,GROUND",92,87,75,85,76,"It uses its scaly, rugged body to seal the entrance of its nest and protect its young from predators."
"Nidoran (male)",32.gif,32b.gif,32.ogg,MEDIUM_SLOW,46,POISON,57,40,40,40,50,"It scans its surroundings by raising its ears out of the grass. Its toxic horn is for protection."
Nidorino,33.gif,33b.gif,33.ogg,MEDIUM_SLOW,61,POISON,72,57,55,55,65,"It raises its big ears to check its surroundings. If it senses anything, it attacks immediately."
Nidoking,34.gif,34b.gif,34.ogg,MEDIUM_SLOW,81,"POISON,GROUND",102,77,85,75,85,"It is recognized by its rock-hard hide and its extended horn. Be careful with the horn, as it contains venom."
Clefairy,35.gif,35b.gif,35.ogg,FAST,70,FAIRY,45,48,60,65,35,"It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon."
Clefable,36.gif,36b.gif,36.ogg,FAST,95,FAIRY,70,73,95,90,60,"Its hearing is so acute it can hear a pin drop over half a mile away. It lives on quiet mountains."
Vulpix,37.gif,37b.gif,37.ogg,MEDIUM,38,FIRE,41,40,50,65,65,"When it is born, it has just one snow-white tail. The tail splits from its tip as it grows older."
Ninetales,38.gif,38b.gif,38.ogg,MEDIUM,73,FIRE,76,75,81,100,100,"It has nine long tails and fur that gleams gold. It is said to live for 1,000 years."
Jigglypuff,39.gif,39b.gif,39.ogg,FAST,115,"NORMAL,FAIRY",45,20,45,25,20,"It captivates foes with its huge, round eyes, then lulls them to sleep by singing a soothing melody."
Wigglytuff,40.gif,40b.gif,40.ogg,FAST,140,"NORMAL,FAIRY",70,45,85,50,45,"Their fur feels so good that if two of them snuggle together, they won’t want to be separated."
Zubat,41.gif,41b.gif,41.ogg,MEDIUM,40,"POISON,FLYING",45,35,30,40,55,"Even though it has no eyes, it can sense obstacles using ultrasonic waves it emits from its mouth."
Golbat,42.gif,42b.gif,42.ogg,MEDIUM,75,"POISON,FLYING",80,70,65,75,90,"Once it bites, it will not stop draining energy from the victim even if it gets too heavy to fly."
Oddish,43.gif,43b.gif,43.ogg,MEDIUM_SLOW,45,"GRASS,POISON",50,55,75,65,30,"During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight."
Gloom,44.gif,44b.gif,44.ogg,MEDIUM_SLOW,60,"GRASS,POISON",65,70,85,75,40,"Smells incredibly foul! However, around one out of a thousand people enjoy sniffing its nose-bending stink."
Vileplume,45.gif,45b.gif,45.ogg,MEDIUM_SLOW,75,"GRASS,POISON",80,85,110,90,50,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up."
Paras,46.gif,46b.gif,46.ogg,MEDIUM,35,"BUG,GRASS",70,55,45,55,25,"Growing out of the bug’s back are mushrooms called tochukaso. The mushrooms grow with the bug host."
Parasect,47.gif,47b.gif,47.ogg,MEDIUM,60,"BUG,GRASS",95,80,60,80,30,"A mushroom grown larger than the host’s body controls Parasect. It scatters poisonous spores."
Venonat,48.gif,48b.gif,48.ogg,MEDIUM,60,"BUG,POISON",55,50,40,55,45,"Its big eyes are actually clusters of tiny eyes. At night, its kind is drawn by light."
Venomoth,49.gif,49b.gif,49.ogg,MEDIUM,70,"BUG,POISON",65,60,90,75,90,"The scales it scatters will paralyze anyone who touches them, making that person unable to stand."
Diglett,50.gif,50b.gif,50.ogg,MEDIUM,10,GROUND,55,25,35,45,95,"Lives about one yard underground where it feeds on plant roots. It sometimes appears aboveground."
Dugtrio,51.gif,51b.gif,51.ogg,MEDIUM,35,GROUND,80,50,50,70,120,"In battle, it digs through the ground and strikes the unsuspecting foe from an unexpected direction."
Meowth,52.gif,52b.gif,52.ogg,MEDIUM,40,NORMAL,45,35,40,40,90,"It is nocturnal in nature. If it spots something shiny, its eyes glitter brightly."
Persian,53.gif,53b.gif,53.ogg,MEDIUM,65,NORMAL,70,60,65,65,115,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness."
Psyduck,54.gif,54b.gif,54.ogg,MEDIUM,50,WATER,52,48,65,50,55,"It is constantly wracked by a headache. When the headache turns intense, it begins using mysterious powers."
Golduck,55.gif,55b.gif,55.ogg,MEDIUM,80,WATER,82,78,95,80,85,"It appears by waterways at dusk. It may use telekinetic powers if its forehead glows mysteriously."
Mankey,56.gif,56b.gif,56.ogg,MEDIUM,40,FIGHTING,80,35,35,45,70,"It’s unsafe to approach if it gets violently enraged for no reason and can’t distinguish friends from foes."
Primeape,57.gif,57b.gif,57.ogg,MEDIUM,65,FIGHTING,105,60,60,70,95,"It stops being angry only when nobody else is around. To view this moment is very difficult."
Growlithe,58.gif,58b.gif,58.ogg,SLOW,55,FIRE,70,45,70,50,60,"Very friendly and faithful to people. It will try to repel enemies by barking and biting."
Arcanine,59.gif,59b.gif,59.ogg,SLOW,90,FIRE,110,80,100,80,95,"A Pokémon that has long been admired for its beauty. It runs agilely as if on wings."
Poliwag,60.gif,60b.gif,60.ogg,MEDIUM_SLOW,40,WATER,50,40,40,40,90,"Its slick black skin is thin and damp. A part of its internal organs can be seen through the skin as a spiral pattern."
Poliwhirl,61.gif,61b.gif,61.ogg,MEDIUM_SLOW,65,WATER,65,65,50,50,90,"It can live in or out of water. When out of water, it constantly sweats to keep its body slimy."
Poliwrath,62.gif,62b.gif,62.ogg,MEDIUM_SLOW,90,"WATER,FIGHTING",95,95,70,90,70,"With its extremely tough muscles, it can keep swimming in the Pacific Ocean without resting."
Abra,63.gif,63b.gif,63.ogg,MEDIUM_SLOW,25,PSYCHIC,20,15,105,55,90,"It sleeps for 18 hours a day. It uses a variety of extrasensory powers even while asleep."
Kadabra,64.gif,64b.gif,64.ogg,MEDIUM_SLOW,40,PSYCHIC,35,30,120,70,105,"When it uses its psychic power, it emits strong alpha waves that can ruin precision devices."
Alakazam,65.gif,65b.gif,65.ogg,MEDIUM_SLOW,55,PSYCHIC,50,45,135,95,120,"Its brain cells multiply continually until it dies. As a result, it remembers everything."
Machop,66.gif,66b.gif,66.ogg,MEDIUM_SLOW,70,FIGHTING,80,50,35,35,35,"It hefts a Graveler repeatedly to strengthen its entire body. It uses every type of martial arts."
Machoke,67.gif,67b.gif,67.ogg,MEDIUM_SLOW,80,FIGHTING,100,70,50,60,45,"Its muscular body is so powerful, it must wear a power-save belt to be able to regulate its motions."
Machamp,68.gif,68b.gif,68.ogg,MEDIUM_SLOW,90,FIGHTING,130,80,65,85,55,"Its four ruggedly developed arms can launch a flurry of 1,000 punches in just two seconds."
Bellsprout,69.gif,69b.gif,69.ogg,MEDIUM_SLOW,50,"GRASS,POISON",75,35,70,30,40,"Even though its body is extremely skinny, it is blindingly fast when catching its prey."
Weepinbell,70.gif,70b.gif,70.ogg,MEDIUM_SLOW,65,"GRASS,POISON",90,50,85,45,55,"The leafy parts act as cutters for slashing foes. It spits a fluid that dissolves everything."
Victreebel,71.gif,71b.gif,71.ogg,MEDIUM_SLOW,80,"GRASS,POISON",105,65,100,70,70,"Said to live in huge colonies deep in jungles, although no one has ever returned from there."
Tentacool,72.gif,72b.gif,72.ogg,SLOW,40,"WATER,POISON",40,35,50,100,70,"Its body is virtually composed of water. It shoots strange beams from its crystal-like eyes."
Tentacruel,73.gif,73b.gif,73.ogg,SLOW,80,"WATER,POISON",70,65,80,120,100,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey."
Geodude,74.gif,74b.gif,74.ogg,MEDIUM_SLOW,40,"ROCK,GROUND",80,100,30,30,20,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them."
Graveler,75.gif,75b.gif,75.ogg,MEDIUM_SLOW,55,"ROCK,GROUND",95,115,45,45,35,"With a free and uncaring nature, it doesn’t mind if pieces break off while it rolls down mountains."
Golem,76.gif,76b.gif,76.ogg,MEDIUM_SLOW,80,"ROCK,GROUND",120,130,55,65,45,"It tumbles down mountains, leaving grooves from peak to base. Stay clear of these grooves."
Ponyta,77.gif,77b.gif,77.ogg,MEDIUM,50,FIRE,85,55,65,65,90,"As a newborn, it can barely stand. However, through galloping, its legs are made tougher and faster."
Rapidash,78.gif,78b.gif,78.ogg,MEDIUM,65,FIRE,100,70,80,80,105,"Very competitive, this Pokémon will chase anything that moves fast in the hopes of racing it."
Slowpoke,79.gif,79b.gif,79.ogg,MEDIUM,90,"WATER,PSYCHIC",65,65,40,40,15,"It is always vacantly lost in thought, but no one knows what it is thinking about. It is good at fishing with its tail."
Slowbro,80.gif,80b.gif,80.ogg,MEDIUM,95,"WATER,PSYCHIC",75,110,100,80,30,"An attached Shellder won’t let go because of the tasty flavor that oozes out of its tail."
Magnemite,81.gif,81b.gif,81.ogg,MEDIUM,25,"ELECTRIC,STEEL",35,70,95,55,45,"The units at the sides of its body generate antigravity energy to keep it aloft in the air."
Magneton,82.gif,82b.gif,82.ogg,MEDIUM,50,"ELECTRIC,STEEL",60,95,120,70,70,"A linked cluster formed of several Magnemite. It discharges powerful magnetic waves at high voltage."
Farfetchd,83.gif,83b.gif,83.ogg,MEDIUM,52,"NORMAL,FLYING",65,55,58,62,60,"The plant stalk it holds is its weapon. The stalk is used like a sword to cut all sorts of things."
Doduo,84.gif,84b.gif,84.ogg,MEDIUM,35,"NORMAL,FLYING",85,45,35,35,75,"A two-headed Pokémon that was discovered as a sudden mutation. It runs at a pace of over 60 miles per hour."
Dodrio,85.gif,85b.gif,85.ogg,MEDIUM,60,"NORMAL,FLYING",110,70,60,60,100,"An enemy that takes its eyes off any of the three heads--even for a second--will get pecked severely."
Seel,86.gif,86b.gif,86.ogg,MEDIUM,65,WATER,45,55,45,70,45,"A Pokémon that lives on icebergs. It swims in the sea using the point on its head to break up ice."
Dewgong,87.gif,87b.gif,87.ogg,MEDIUM,90,"WATER,ICE",70,80,70,95,70,"Its body is covered with a pure white fur. The colder the weather, the more active it becomes."
Grimer,88.gif,88b.gif,88.ogg,MEDIUM,80,POISON,80,50,40,50,25,"Sludge exposed to X-rays from the moon transformed into Grimer. It loves feeding on filthy things."
Muk,89.gif,89b.gif,89.ogg,MEDIUM,105,POISON,105,75,65,100,50,"They love to gather in smelly areas where sludge accumulates, making the stench around them worse."
Shellder,90.gif,90b.gif,90.ogg,SLOW,30,WATER,65,100,45,25,40,"Its hard shell repels any kind of attack. It is vulnerable only when its shell is open."
Cloyster,91.gif,91b.gif,91.ogg,SLOW,50,"WATER,ICE",95,180,85,45,70,"Cloyster that live in seas with harsh tidal currents grow large, sharp spikes on their shells."
Gastly,92.gif,92b.gif,92.ogg,MEDIUM_SLOW,30,"GHOST,POISON",35,30,100,35,80,"Its body is made of gas. Despite lacking substance, it can envelop an opponent of any size and cause suffocation."
Haunter,93.gif,93b.gif,93.ogg,MEDIUM_SLOW,45,"GHOST,POISON",50,45,115,55,95,"If you get the feeling of being watched in darkness when nobody is around, Haunter is there."
Gengar,94.gif,94b.gif,94.ogg,MEDIUM_SLOW,60,"GHOST,POISON",65,60,130,75,110,"It hides in shadows. It is said that if Gengar is hiding, it cools the area by nearly 10 degrees Fahrenheit."
Onix,95.gif,95b.gif,95.ogg,MEDIUM,35,"ROCK,GROUND",45,160,30,45,70,"Burrows at high speed in search of food. The tunnels it leaves are used as homes by Diglett."
Drowzee,96.gif,96b.gif,96.ogg,MEDIUM,60,PSYCHIC,48,45,43,90,42,"Puts enemies to sleep, then eats their dreams. Occasionally gets sick from eating only bad dreams."
Hypno,97.gif,97b.gif,97.ogg,MEDIUM,85,PSYCHIC,73,70,73,115,67,"It carries a pendulum-like device. There once was an incident in which it took away a child it hypnotized."
Krabby,98.gif,98b.gif,98.ogg,MEDIUM,30,WATER,105,90,25,25,50,"If it senses danger approaching, it cloaks itself with bubbles from its mouth so it will look bigger."
Kingler,99.gif,99b.gif,99.ogg,MEDIUM,55,WATER,130,115,50,50,75,"Its large and hard pincer has 10,000-horsepower strength. However, being so big, it is unwieldy to move."
Voltorb,100.gif,100b.gif,100.ogg,MEDIUM,40,ELECTRIC,30,50,55,55,100,"It was discovered when Poké Balls were introduced. It is said that there is some connection."
Electrode,101.gif,101b.gif,101.ogg,MEDIUM,60,ELECTRIC,50,70,80,80,140,"It explodes in response to even minor stimuli. It is feared, with the nickname of “The Bomb Ball.”"
Exeggcute,102.gif,102b.gif,102.ogg,SLOW,60,"GRASS,PSYCHIC",40,80,60,45,40,"Its six eggs converse using telepathy. They can quickly gather if they become separated."
Exeggutor,103.gif,103b.gif,103.ogg,SLOW,95,"GRASS,PSYCHIC",95,85,125,65,55,"Its three heads think independently. However, they are friendly and never appear to squabble."
Cubone,104.gif,104b.gif,104.ogg,MEDIUM,50,GROUND,50,95,40,50,35,"It wears the skull of its dead mother on its head. When it becomes lonesome, it is said to cry loudly."
Marowak,105.gif,105b.gif,105.ogg,MEDIUM,60,GROUND,80,110,50,80,45,"It is small and was originally very weak. Its temperament turned ferocious when it began using bones."
Hitmonlee,106.gif,106b.gif,106.ogg,MEDIUM,50,FIGHTING,120,53,35,110,87,"The legs freely contract and stretch. The stretchy legs allow it to hit a distant foe with a rising kick."
Hitmonchan,107.gif,107b.gif,107.ogg,MEDIUM,50,FIGHTING,105,79,35,110,76,"The arm-twisting punches it throws pulverize even concrete. It rests after three minutes of fighting."
Lickitung,108.gif,108b.gif,108.ogg,MEDIUM,90,NORMAL,55,75,60,75,30,"Its long tongue, slathered with a gooey saliva, sticks to anything, so it is very useful."
Koffing,109.gif,109b.gif,109.ogg,MEDIUM,40,POISON,65,95,60,45,35,"Its thin, balloon-like body is inflated by horribly toxic gases. It reeks when it is nearby."
Weezing,110.gif,110b.gif,110.ogg,MEDIUM,65,POISON,90,120,85,70,60,"If one of the twin Koffing inflates, the other one deflates. It constantly mixes its poisonous gases."
Rhyhorn,111.gif,111b.gif,111.ogg,SLOW,80,"GROUND,ROCK",85,95,30,30,25,"Strong, but not too bright, this Pokémon can shatter even a skyscraper with its charging Tackles."
Rhydon,112.gif,112b.gif,112.ogg,SLOW,105,"GROUND,ROCK",130,120,45,45,40,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees Fahrenheit."
Chansey,113.gif,113b.gif,113.ogg,FAST,250,NORMAL,5,5,35,105,50,"It is said to deliver happiness. Being compassionate, it shares its eggs with injured people."
Tangela,114.gif,114b.gif,114.ogg,MEDIUM,65,GRASS,55,115,100,40,60,"Many writhing vines cover it, so its true identity remains unknown. The blue vines grow its whole life long."
Kangaskhan,115.gif,115b.gif,115.ogg,MEDIUM,105,NORMAL,95,80,40,80,90,"It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe."
Horsea,116.gif,116b.gif,116.ogg,MEDIUM,30,WATER,40,70,70,25,60,"Known to shoot down flying bugs with precision blasts of ink from the surface of the water."
Seadra,117.gif,117b.gif,117.ogg,MEDIUM,55,WATER,65,95,95,45,85,"Its body bristles with sharp spikes. Carelessly trying to touch it could cause fainting from the spikes."
Goldeen,118.gif,118b.gif,118.ogg,MEDIUM,45,WATER,67,60,35,50,63,"It swims at a steady 5 knots. If it senses danger, it will strike back with its sharp horn."
Seaking,119.gif,119b.gif,119.ogg,MEDIUM,80,WATER,92,65,65,80,68,"In the autumn spawning season, they can be seen swimming powerfully up rivers and creeks."
Staryu,120.gif,120b.gif,120.ogg,SLOW,30,WATER,45,55,70,55,85,"Even if its body is torn, it can regenerate as long as the glowing central core remains intact."
Starmie,121.gif,121b.gif,121.ogg,SLOW,60,"WATER,PSYCHIC",75,85,100,85,115,"Its central core glows with the seven colors of the rainbow. Some people value the core as a gem."
Mr,122.gif,122b.gif,122.ogg,MEDIUM,40,"PSYCHIC,FAIRY",45,65,100,120,90,"Emanations from its fingertips solidify the air into invisible walls that repel even harsh attacks."
Scyther,123.gif,123b.gif,123.ogg,MEDIUM,70,"BUG,FLYING",110,80,55,80,105,"It tears and shreds prey with its wickedly sharp scythes. It very rarely spreads its wings to fly."
Jynx,124.gif,124b.gif,124.ogg,MEDIUM,65,"ICE,PSYCHIC",50,35,115,95,95,"It wiggles its hips as it walks. It can cause people to dance in unison with it."
Electabuzz,125.gif,125b.gif,125.ogg,MEDIUM,65,ELECTRIC,83,57,95,85,105,"Electricity runs across the surface of its body. In darkness, its entire body glows a whitish blue."
Magmar,126.gif,126b.gif,126.ogg,MEDIUM,65,FIRE,95,57,100,85,93,"Found near the mouth of a volcano. This fire-breather’s body temperature is nearly 2,200 degrees Fahrenheit."
Pinsir,127.gif,127b.gif,127.ogg,SLOW,65,BUG,125,100,55,70,85,"It grips prey with its pincers until the prey is torn in half. What it can’t tear, it tosses far."
Tauros,128.gif,128b.gif,128.ogg,SLOW,75,NORMAL,100,95,40,70,110,"After heightening its will to fight by whipping itself with its three tails, it charges at full speed."
Magikarp,129.gif,129b.gif,129.ogg,SLOW,20,WATER,10,55,15,20,80,"It is virtually worthless in terms of both power and speed. It is the most weak and pathetic Pokémon in the world."
Gyarados,130.gif,130b.gif,130.ogg,SLOW,95,"WATER,FLYING",125,79,60,100,81,"In ancient literature, there is a record of a Gyarados that razed a village when violence flared."
Lapras,131.gif,131b.gif,131.ogg,SLOW,130,"WATER,ICE",85,80,85,95,60,"They have gentle hearts. Because they rarely fight, many have been caught. Their number has dwindled."
Ditto,132.gif,132b.gif,132.ogg,MEDIUM,48,NORMAL,48,48,48,48,48,"It has the ability to reconstitute its entire cellular structure to transform into whatever it sees."
Eevee,133.gif,133b.gif,133.ogg,MEDIUM,55,NORMAL,55,50,45,65,55,"A rare Pokémon that adapts to harsh environments by taking on different evolutionary forms."
Vaporeon,134.gif,134b.gif,134.ogg,MEDIUM,130,WATER,65,60,110,95,65,"It prefers beautiful shores. With cells similar to water molecules, it could melt in water."
Jolteon,135.gif,135b.gif,135.ogg,MEDIUM,65,ELECTRIC,65,60,110,95,130,"Every hair on its body starts to stand sharply on end if it becomes charged with electricity."
Flareon,136.gif,136b.gif,136.ogg,MEDIUM,65,FIRE,130,60,95,110,65,"It has a flame sac in its body. Its body temperature tops 1,650 degrees Fahrenheit before battle."
Porygon,137.gif,137b.gif,137.ogg,MEDIUM,65,NORMAL,60,70,85,75,40,"A man-made Pokémon that came about as a result of research. It is programmed with only basic motions."
Omanyte,138.gif,138b.gif,138.ogg,MEDIUM,35,"ROCK,WATER",40,100,90,55,35,"A prehistoric Pokémon that lived in the primordial sea, it swims by twisting its 10 tentacles about."
Omastar,139.gif,139b.gif,139.ogg,MEDIUM,70,"ROCK,WATER",60,125,115,70,55,"Its tentacles are highly developed as if they are hands and feet. As soon as it ensnares prey, it bites."
Kabuto,140.gif,140b.gif,140.ogg,MEDIUM,30,"ROCK,WATER",80,90,55,45,55,"It is thought to have inhabited beaches 300 million years ago. It is protected by a stiff shell."
Kabutops,141.gif,141b.gif,141.ogg,MEDIUM,60,"ROCK,WATER",115,105,65,70,80,"In the water, it tucks in its limbs to become more compact, then it wiggles its shell to swim fast."
Aerodactyl,142.gif,142b.gif,142.ogg,SLOW,80,"ROCK,FLYING",105,65,60,75,130,"It was regenerated from a dinosaur’s genetic matter that was found in amber. It flies with high-pitched cries."
Snorlax,143.gif,143b.gif,143.ogg,SLOW,160,NORMAL,110,65,65,110,30,"It is not satisfied unless it eats over 880 pounds of food every day. When it is done eating, it goes promptly to sleep."
Articuno,144.gif,144b.gif,144.ogg,SLOW,90,"ICE,FLYING",85,100,95,125,85,"A legendary bird Pokémon. It can create blizzards by freezing moisture in the air."
Zapdos,145.gif,145b.gif,145.ogg,SLOW,90,"ELECTRIC,FLYING",90,85,125,90,100,"A legendary bird Pokémon that is said to appear from clouds while dropping enormous lightning bolts."
Moltres,146.gif,146b.gif,146.ogg,SLOW,90,"FIRE,FLYING",100,90,125,85,90,"It is said to be the legendary bird Pokémon of fire. Every flap of its wings creates a dazzling flare of flames."
Dratini,147.gif,147b.gif,147.ogg,SLOW,41,DRAGON,64,45,50,50,50,"It is called the “Mirage Pokémon” because so few have seen it. Its shed skin has been found."
Dragonair,148.gif,148b.gif,148.ogg,SLOW,61,DRAGON,84,65,70,70,70,"Its crystalline orbs appear to give this Pokémon the power to freely control the weather."
Dragonite,149.gif,149b.gif,149.ogg,SLOW,91,"DRAGON,FLYING",134,95,100,100,80,"It can fly in spite of its big and bulky physique. It circles the globe in just 16 hours."
Mewtwo,150.gif,150b.gif,150.ogg,SLOW,106,PSYCHIC,110,90,154,90,130,"It was created by a scientist after years of horrific gene-splicing and DNA-engineering experiments."
Mew,151.gif,151b.gif,151.ogg,MEDIUM_SLOW,100,PSYCHIC,100,100,100,100,100,"Because it can use all kinds of moves, many scientists believe Mew to be the ancestor of Pokémon."
Chikorita,152.gif,152b.gif,152.ogg,MEDIUM_SLOW,45,GRASS,49,65,49,65,45,"A sweet aroma gently wafts from the leaf on its head. It is docile and loves to soak up sun rays."
Bayleef,153.gif,153b.gif,153.ogg,MEDIUM_SLOW,60,GRASS,62,80,63,80,60,"A spicy aroma emanates from around its neck. The aroma acts as a stimulant to restore health."
Meganium,154.gif,154b.gif,154.ogg,MEDIUM_SLOW,80,GRASS,82,100,83,100,80,"The aroma that rises from its petals contains a substance that calms aggressive feelings."
Cyndaquil,155.gif,155b.gif,155.ogg,MEDIUM_SLOW,39,FIRE,52,43,60,50,65,"It is timid and always curls itself up in a ball. If attacked, it flares up its back for protection."
Quilava,156.gif,156b.gif,156.ogg,MEDIUM_SLOW,58,FIRE,64,58,80,65,80,"Before battle, it turns its back on its opponent to demonstrate how ferociously its fire blazes."
Typhlosion,157.gif,157b.gif,157.ogg,MEDIUM_SLOW,78,FIRE,84,78,109,85,100,"If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames."
Totodile,158.gif,158b.gif,158.ogg,MEDIUM_SLOW,50,WATER,65,64,44,48,43,"It is small but rough and tough. It won’t hesitate to take a bite out of anything that moves."
Croconaw,159.gif,159b.gif,159.ogg,MEDIUM_SLOW,65,WATER,80,80,59,63,58,"If it loses a fang, a new one grows back in its place. There are always 48 fangs lining its mouth."
Feraligatr,160.gif,160b.gif,160.ogg,MEDIUM_SLOW,85,WATER,105,100,79,83,78,"It usually moves slowly, but it goes at blinding speed when it attacks and bites prey."
Sentret,161.gif,161b.gif,161.ogg,MEDIUM,35,NORMAL,46,34,35,45,20,"When acting as a lookout, it warns others of danger by screeching and hitting the ground with its tail."
Furret,162.gif,162b.gif,162.ogg,MEDIUM,85,NORMAL,76,64,45,55,90,"The mother puts its offspring to sleep by curling up around them. It corners foes with speed."
